iter	RMSE
0	0.375929646
1	0.3507935408
2	0.3283788728
3	0.3098117966
4	0.2917287702
5	0.275463433
6	0.2623535514
7	0.2497775672
8	0.238361993
9	0.2281093384
10	0.2190508637
11	0.2103547321
12	0.2023801313
13	0.1952624862
14	0.1892093821
15	0.1829045655
16	0.1775353498
17	0.1727850214
18	0.1686056024
19	0.1641762258
20	0.160562876
21	0.1572629826
22	0.1540261879
23	0.1511694064
24	0.1484601236
25	0.1461076524
26	0.1436338265
27	0.1415257328
28	0.139479156
29	0.1374102046
30	0.135614973
31	0.1340006183
32	0.1325483009
33	0.1307717268
34	0.1297968802
35	0.1284301619
36	0.127063875
37	0.1258515811
38	0.1246545959
39	0.1240310797
40	0.1233348003
41	0.1226876215
42	0.1218929736
43	0.121325923
44	0.1206796712
45	0.1201561396
46	0.1200403833
47	0.1192913111
48	0.1184437398
49	0.1176534233
50	0.1168460241
51	0.1159957519
52	0.1154208826
53	0.1150016726
54	0.1148362445
55	0.1144946988
56	0.1136391713
57	0.1129770783
58	0.112392788
59	0.1118413799
60	0.1117048375
61	0.1112820815
62	0.1109920537
63	0.110425816
64	0.1102435746
65	0.1101255339
66	0.1096440067
67	0.1089399395
68	0.108468873
69	0.108190879
70	0.1076570166
71	0.107196103
72	0.1066074138
73	0.1061439241
74	0.1057149002
75	0.1054846061
76	0.1052101904
77	0.1048071797
78	0.1043069575
79	0.1041577784
80	0.1040075955
81	0.1037077539
82	0.1032943261
83	0.1028268104
84	0.1024147584
85	0.1021000547
86	0.1016680908
87	0.1012955645
88	0.1010948777
89	0.1008855832
90	0.1005329732
91	0.1004386065
92	0.1000598112
93	0.0998862347
94	0.0995698539
95	0.09939123401
96	0.09931421601
97	0.09885147517
98	0.09850253176
99	0.0984211232
