iter	Passed	Remaining
0	3	366
1	6	333
2	9	317
3	12	305
4	15	298
5	18	292
6	21	287
7	24	279
8	27	273
9	29	267
10	32	262
11	35	257
12	37	252
13	40	248
14	43	244
15	45	240
16	48	235
17	50	231
18	53	228
19	56	224
20	58	220
21	61	218
22	64	215
23	67	212
24	69	208
25	72	205
26	75	202
27	77	199
28	80	196
29	82	193
30	85	190
31	88	187
32	91	185
33	94	183
34	97	180
35	100	177
36	102	174
37	105	171
38	108	170
39	111	167
40	114	164
41	117	161
42	120	159
43	123	156
44	126	154
45	128	151
46	131	148
47	134	145
48	139	144
49	142	142
50	146	140
51	150	138
52	154	137
53	158	134
54	160	131
55	163	128
56	168	126
57	171	123
58	173	120
59	176	117
60	179	114
61	181	111
62	184	108
63	187	105
64	189	102
65	191	98
66	194	95
67	197	92
68	200	89
69	202	86
70	205	83
71	207	80
72	210	77
73	213	74
74	215	71
75	218	68
76	220	65
77	223	63
78	225	60
79	228	57
80	231	54
81	233	51
82	236	48
83	238	45
84	241	42
85	244	39
86	246	36
87	249	34
88	251	31
89	254	28
90	257	25
91	260	22
92	263	19
93	265	16
94	268	14
95	271	11
96	273	8
97	276	5
98	278	2
99	281	0
