iter	RMSE
0	74580.48954
1	72170.66989
2	69871.87097
3	67631.30688
4	65636.80166
5	63752.96797
6	61839.12513
7	60009.80203
8	58347.836
9	56835.28044
10	55151.30463
11	53690.05972
12	52198.84418
13	50906.99317
14	49666.60223
15	48525.1411
16	47255.73398
17	46172.691
18	45093.2837
19	44048.60009
20	43049.12097
21	42190.85159
22	41226.42072
23	40233.92469
24	39524.59059
25	38735.87526
26	37971.48542
27	37282.03097
28	36618.6692
29	35978.94167
30	35383.60488
31	34833.27825
32	34293.44547
33	33685.46123
34	33101.5673
35	32602.95439
36	32147.30139
37	31689.98803
38	31246.71338
39	30842.0718
40	30435.92073
41	30062.54148
42	29654.8916
43	29331.47307
44	28985.00869
45	28660.36531
46	28321.43576
47	28045.44535
48	27792.52103
49	27446.32479
50	27163.34649
51	26907.78435
52	26645.30012
53	26370.3072
54	26151.19148
55	25905.16206
56	25692.79084
57	25451.44173
58	25280.02278
59	25066.15722
60	24907.02371
61	24714.49002
62	24525.80698
63	24299.908
64	24117.84326
65	23922.54447
66	23744.78349
67	23561.71532
68	23386.43115
69	23240.35678
70	23089.67893
71	22955.33806
72	22815.00708
73	22670.82227
74	22537.43138
75	22440.90233
76	22304.33226
77	22189.186
78	22066.88108
79	21939.57699
80	21847.61436
81	21741.46357
82	21642.37713
83	21544.08619
84	21435.89092
85	21349.38516
86	21246.05099
87	21166.38564
88	21068.29548
89	20983.19808
90	20893.07611
91	20814.29133
92	20726.51785
93	20639.98462
94	20569.71036
95	20487.47952
96	20410.47063
97	20340.51892
98	20263.48048
99	20193.50818
100	20103.47761
101	20041.66251
102	20004.79572
103	19935.45196
104	19872.97699
105	19807.99322
106	19768.24863
107	19686.42189
108	19626.37206
109	19579.93451
110	19522.94077
111	19458.71387
112	19399.48987
113	19357.73124
114	19308.6186
115	19251.96777
116	19206.2023
117	19159.64545
118	19107.28098
119	19067.73768
120	19032.61339
121	18981.82761
122	18950.27587
123	18895.76931
124	18850.15807
125	18796.3397
126	18761.00574
127	18723.75689
128	18656.76415
129	18622.52825
130	18582.09286
131	18556.70614
132	18525.39164
133	18494.9534
134	18460.56315
135	18430.64154
136	18398.5533
137	18368.21846
138	18331.8121
139	18287.02168
140	18252.31732
141	18228.42757
142	18202.09358
143	18172.53958
144	18140.39261
145	18126.59629
146	18102.62515
147	18079.31225
148	18041.57596
149	18001.49475
150	17952.37388
151	17921.78219
152	17895.1589
153	17849.66762
154	17823.20781
155	17793.49752
