iter	Passed	Remaining
0	130	130657
1	132	66194
2	134	44599
3	135	33787
4	137	27312
5	139	23032
6	140	19992
7	142	17675
8	144	15863
9	145	14440
10	148	13314
11	149	12338
12	151	11499
13	153	10785
14	154	10153
15	156	9601
16	157	9117
17	159	8695
18	160	8309
19	162	7958
20	163	7638
21	165	7354
22	167	7096
23	168	6860
24	170	6647
25	172	6451
26	174	6271
27	175	6093
28	177	5927
29	178	5778
30	180	5633
31	181	5501
32	183	5374
33	185	5257
34	186	5149
35	188	5041
36	189	4940
37	191	4843
38	192	4755
39	194	4666
40	195	4582
41	197	4501
42	199	4436
43	200	4363
44	202	4293
45	203	4227
46	205	4167
47	207	4107
48	208	4048
49	210	3991
50	211	3936
51	213	3886
52	214	3834
53	216	3784
54	217	3741
55	219	3698
56	220	3653
57	222	3610
58	223	3568
59	225	3529
60	226	3492
61	228	3455
62	229	3418
63	231	3383
64	232	3350
65	234	3317
66	235	3285
67	237	3254
68	239	3227
69	240	3197
70	242	3167
71	243	3139
72	245	3111
73	246	3087
74	248	3061
75	249	3035
76	251	3010
77	252	2986
78	254	2962
79	255	2939
80	257	2918
81	258	2897
82	260	2876
83	261	2855
84	263	2834
85	264	2814
86	266	2796
87	268	2777
88	269	2757
89	270	2738
90	272	2722
91	273	2704
92	275	2687
93	277	2671
94	278	2656
95	280	2641
96	281	2624
97	283	2608
98	285	2594
99	286	2581
100	288	2566
101	289	2551
102	291	2537
103	292	2523
104	294	2509
105	295	2495
106	297	2482
107	298	2469
108	300	2455
109	301	2442
110	303	2429
111	304	2417
112	306	2406
113	308	2394
114	309	2382
115	311	2370
116	312	2359
117	314	2348
118	315	2336
119	317	2325
120	318	2313
121	320	2304
122	321	2293
123	323	2282
124	324	2271
125	326	2262
126	327	2252
127	329	2244
128	331	2235
129	332	2226
130	334	2217
131	335	2207
132	337	2199
133	338	2190
134	340	2183
135	342	2176
136	344	2168
137	345	2161
138	348	2155
139	349	2148
140	351	2139
141	353	2133
142	354	2125
143	356	2116
144	357	2108
145	359	2101
146	360	2094
147	362	2086
148	363	2078
149	365	2070
150	367	2064
151	368	2057
152	370	2049
153	371	2042
154	373	2036
155	375	2029
156	376	2022
157	378	2015
158	379	2009
159	381	2002
160	382	1995
161	384	1988
162	386	1982
163	387	1976
164	389	1970
165	390	1963
166	392	1956
167	393	1951
168	395	1944
169	396	1938
170	398	1931
171	400	1925
172	401	1919
173	403	1913
174	404	1907
175	406	1902
176	407	1896
177	409	1890
178	410	1884
179	412	1879
180	414	1873
181	415	1867
182	416	1861
183	418	1855
184	420	1851
185	421	1845
186	423	1839
187	424	1833
188	426	1828
189	427	1823
190	429	1817
191	430	1811
192	431	1806
193	433	1801
194	434	1795
195	436	1790
196	437	1784
197	439	1780
198	441	1775
199	442	1770
200	443	1764
201	445	1759
202	446	1754
203	448	1750
204	449	1745
205	451	1739
206	452	1734
207	454	1729
208	455	1725
209	457	1720
210	458	1716
211	460	1712
212	462	1707
213	463	1702
214	464	1697
215	466	1692
216	468	1688
217	469	1684
218	471	1679
219	473	1677
220	474	1673
221	476	1669
222	478	1666
223	479	1661
224	481	1658
225	482	1654
226	484	1649
227	485	1645
228	487	1642
229	489	1638
230	491	1635
231	492	1631
232	494	1627
233	496	1624
234	497	1620
235	499	1616
236	500	1612
237	502	1608
238	503	1604
239	505	1599
240	506	1596
241	508	1592
242	509	1588
243	511	1584
244	512	1580
245	514	1576
246	515	1572
247	517	1568
248	518	1564
249	520	1560
250	521	1556
251	523	1552
252	524	1548
253	525	1544
254	527	1541
255	528	1537
256	530	1533
257	531	1529
258	533	1527
259	535	1524
260	537	1520
261	538	1518
262	540	1515
263	542	1511
264	543	1508
265	545	1505
266	547	1502
267	548	1498
268	550	1494
269	551	1491
270	553	1487
271	554	1484
272	556	1480
273	557	1477
274	558	1473
275	560	1470
276	562	1467
277	563	1463
278	565	1460
279	566	1457
280	568	1453
281	569	1450
282	571	1447
283	573	1444
284	574	1442
285	576	1438
286	577	1435
287	579	1432
288	580	1428
289	582	1425
290	583	1422
291	585	1419
292	586	1416
293	588	1412
294	589	1409
295	591	1406
296	593	1404
297	594	1401
298	596	1397
299	597	1394
300	599	1391
301	600	1388
302	602	1385
303	603	1382
304	605	1379
305	607	1377
306	608	1374
307	610	1370
308	611	1367
309	613	1365
310	614	1362
311	616	1359
312	617	1356
313	619	1352
314	620	1350
315	622	1347
316	623	1344
317	625	1341
318	626	1338
319	628	1335
320	629	1332
321	631	1329
322	632	1326
323	634	1323
324	635	1320
325	637	1317
326	638	1314
327	640	1312
328	641	1309
329	643	1305
330	644	1303
331	646	1300
332	647	1297
333	649	1294
334	650	1291
335	651	1288
336	653	1285
337	654	1282
338	656	1279
339	657	1276
340	659	1274
341	660	1271
342	662	1268
343	663	1265
344	665	1262
345	666	1260
346	668	1257
347	669	1254
348	671	1252
349	673	1249
350	674	1247
351	676	1244
352	677	1242
353	679	1239
354	680	1237
355	682	1234
356	683	1231
357	685	1229
358	687	1226
359	688	1224
360	690	1221
361	691	1219
362	693	1216
363	694	1213
364	696	1211
365	697	1208
366	699	1206
367	700	1203
368	702	1201
369	704	1198
370	705	1196
371	707	1193
372	708	1191
373	710	1188
374	711	1186
375	713	1183
376	714	1180
377	716	1178
378	717	1175
379	719	1173
380	720	1170
381	722	1168
382	723	1165
383	724	1162
384	726	1160
385	728	1158
386	729	1155
387	731	1153
388	732	1150
389	734	1148
390	736	1146
391	737	1143
392	739	1141
393	741	1139
394	743	1138
395	744	1135
396	746	1133
397	747	1131
398	749	1128
399	750	1126
400	752	1124
401	754	1122
402	756	1119
403	757	1117
404	758	1115
405	760	1112
406	762	1110
407	763	1108
408	765	1105
409	766	1103
410	768	1101
411	770	1098
412	771	1096
413	773	1094
414	775	1092
415	776	1090
416	778	1088
417	779	1085
418	781	1083
419	783	1081
420	784	1078
421	785	1076
422	787	1074
423	789	1072
424	790	1069
425	792	1067
426	793	1065
427	795	1063
428	796	1060
429	798	1058
430	800	1056
431	801	1054
432	803	1051
433	804	1049
434	806	1047
435	808	1045
436	809	1043
437	811	1040
438	812	1038
439	814	1036
440	815	1034
441	817	1031
442	818	1029
443	820	1027
444	821	1024
445	823	1022
446	824	1020
447	826	1017
448	827	1015
449	829	1013
450	830	1011
451	832	1008
452	833	1006
453	835	1004
454	836	1001
455	837	999
456	839	997
457	841	995
458	842	993
459	844	990
460	845	988
461	847	986
462	848	984
463	850	982
464	851	979
465	853	977
466	854	975
467	856	973
468	857	971
469	859	968
470	860	966
471	862	964
472	863	962
473	865	960
474	866	958
475	868	955
476	869	953
477	871	951
478	872	949
479	874	947
480	876	945
481	877	943
482	879	941
483	880	939
484	882	936
485	883	934
486	885	932
487	887	931
488	889	929
489	890	927
490	892	924
491	893	923
492	895	920
493	897	918
494	898	916
495	899	914
496	901	912
497	903	910
498	905	908
499	906	906
500	908	904
501	909	902
502	911	900
503	913	898
504	914	896
505	916	894
506	917	892
507	919	890
508	920	888
509	922	886
510	924	884
511	925	882
512	927	880
513	929	878
514	930	876
515	932	874
516	933	872
517	935	870
518	937	868
519	938	866
520	940	864
521	941	862
522	943	860
523	944	858
524	946	856
525	948	854
526	949	852
527	950	850
528	952	848
529	953	845
530	955	843
531	957	841
532	958	839
533	959	837
534	961	835
535	963	833
536	964	831
537	965	829
538	967	827
539	968	825
540	970	823
541	971	821
542	973	819
543	974	817
544	976	815
545	977	813
